MatchKey,BattingTeam,Score,Wickets,InningsResult,Overs,RPO,Lead,Inns,Result,Opposition,HostCountry,StartDate
513,Australia,325,10,1,130.2,2.5,126,2,0,South Africa,South Africa,12/23/1966
513,Australia,261,10,1,117.5,2.22,-233,4,0,South Africa,South Africa,12/23/1966
515,Australia,542,10,1,188.3,2.88,542,1,1,South Africa,South Africa,12/31/1966
515,Australia,180,4,1,65.1,2.76,2,4,1,South Africa,South Africa,12/31/1966
517,Australia,147,10,1,69,2.13,53,2,0,South Africa,South Africa,1/20/1967
517,Australia,334,10,1,160.1,2.09,181,3,0,South Africa,South Africa,1/20/1967
518,Australia,143,10,1,70.1,2.04,143,1,0,South Africa,South Africa,02/03/1967
518,Australia,148,8,1,78.3,1.89,-41,3,0,South Africa,South Africa,02/03/1967
519,Australia,173,10,1,74.1,2.33,173,1,0,South Africa,South Africa,2/24/1967
519,Australia,278,10,1,105.1,2.65,175,3,0,South Africa,South Africa,2/24/1967
526,Australia,335,10,1,122.5,2.73,335,1,1,India,Australia,12/23/1967
526,Australia,369,10,1,118.1,3.12,397,3,1,India,Australia,12/23/1967
527,Australia,529,10,1,140.3,3.77,356,2,1,India,Australia,12/30/1967
528,Australia,379,10,1,149.4,2.54,379,1,1,India,Australia,1/19/1968
528,Australia,294,10,1,111.2,2.64,394,3,1,India,Australia,1/19/1968
530,Australia,317,10,1,115.4,2.75,317,1,1,India,Australia,1/26/1968
530,Australia,292,10,1,113.5,2.57,341,3,1,India,Australia,1/26/1968
539,Australia,357,10,1,130.3,2.74,357,1,1,England,England,06/06/1968
539,Australia,220,10,1,88,2.5,412,3,1,England,England,06/06/1968
540,Australia,78,10,1,33.4,2.34,-273,2,0,England,England,6/20/1968
540,Australia,127,4,1,67,1.9,46,3,0,England,England,6/20/1968
541,Australia,222,10,1,91,2.44,87,2,0,England,England,07/11/1968
541,Australia,68,1,1,28.2,2.41,-261,4,0,England,England,07/11/1968
542,Australia,315,10,1,133.4,2.36,315,1,0,England,England,7/25/1968
542,Australia,312,10,1,154.1,2.02,325,3,0,England,England,7/25/1968
543,Australia,324,10,1,163.3,1.98,70,2,0,England,England,8/22/1968
543,Australia,125,10,1,83.3,1.5,-226,4,0,England,England,8/22/1968
544,Australia,284,10,1,131.2,2.16,2,2,0,West Indies,Australia,12/06/1968
544,Australia,240,10,1,118.2,2.03,25,4,0,West Indies,Australia,12/06/1968
545,Australia,510,10,1,181.5,2.81,310,2,1,West Indies,Australia,12/26/1968
546,Australia,547,10,1,162.2,3.37,283,2,1,West Indies,Australia,01/03/1969
546,Australia,42,0,1,10.4,4.04,1,4,1,West Indies,Australia,01/03/1969
547,Australia,533,10,1,168.5,3.16,257,2,0,West Indies,Australia,1/24/1969
547,Australia,339,9,1,112,3.03,-20,4,0,West Indies,Australia,1/24/1969
548,Australia,619,10,1,203.5,3.04,619,1,1,West Indies,Australia,2/14/1969
548,Australia,394,8,0,122.4,3.22,734,3,1,West Indies,Australia,2/14/1969
565,Australia,345,10,1,169.4,2.04,74,2,1,India,India,11/04/1969
565,Australia,67,2,1,26.5,2.53,4,4,1,India,India,11/04/1969
567,Australia,348,10,1,166.2,2.09,28,2,0,India,India,11/15/1969
567,Australia,95,0,1,44,2.16,89,4,0,India,India,11/15/1969
568,Australia,296,10,1,119.4,2.48,296,1,0,India,India,11/28/1969
568,Australia,107,10,1,58.2,1.84,180,3,0,India,India,11/28/1969
569,Australia,335,10,1,143.1,2.34,123,2,1,India,India,12/12/1969
569,Australia,42,0,1,5,8.4,4,4,1,India,India,12/12/1969
